,questions,documents,answers,explanations
26,"Can filtering out blue light using blue filter glasses or night mode settings on smartphone, tablet or laptop screens have a beneficial effect on sleep?","With activated blue filter night mode or blue filter glasses, the participants took a similar amount of time to fall asleep as without blue filter. Perhaps the amount of blue light on tablets, smartphones, ebook readers or laptop screens is not enough to disturb the body's own melatonin production. The overall study situation now indicates that blue light from screen devices has no influence on sleep.",no,"In previous studies, it makes no noticeable difference to sleep when the blue light component of display screen devices is filtered out in the evening. However, the results are not well validated because the studies are of low quality and usually only examined a few people."
27,Is strophanthin an effective cardiovascular drug?,"Furthermore, the positive results of strophanthin are not credible according to studies. Whether strophanthin relieves symptoms of coronary heart disease or heart failure better than today's standard medications, can therefore not be derived from these studies. Whether strophanthine has a benefit in this respect, the two found studies do not answer.",unknown,"We found two small flawed studies. They only investigated whether complaints improve in the short term, but not the long-term effect on disease progression and deaths. Since the studies are quite old, it is also not possible to assess how strophanthin compares with modern, well-studied drugs."
28,Can regular intake of vitamin C prevent colds?,"Although those who swallow vitamin C preventatively are probably a little shorter ill in case of a cold, the effect seems small: With an average duration of seven days of disease, vitamin C would reduce to six to six and a half days of disease. A clear advantage was not shown – the number of participants who had been cold was hardly lower with vitamin C than with placebo.",no,"Preventive intake of high-dose vitamin C for a long time does not prevent the occurrence of colds. However, it can reduce the average duration of illness by half a day to a day from a week. Vitamin C is unlikely to improve a cold that has already occurred."
29,Can taking vitamin C after the onset of a cold relieve symptoms or shorten the illness?,Symptom treatment probably without effect The recommendation to take high-dose vitamin C at the first signs of a cold cannot be confirmed by studies. The combined results of previous studies do not show that vitamin C can relieve cold symptoms.,no,"Preventive intake of high-dose vitamin C for a long time does not prevent the occurrence of colds. However, it can reduce the average duration of illness by half a day to a day from a week. Vitamin C is unlikely to improve a cold that has already occurred."
30,Do saline nasal rinses and nasal sprays or inhaling with steam from saline solution help with colds?,"It is still unclear whether they have a positive effect on colds. Whether salt water – whether as a rinsing, inhalation or spray – can relieve the discomfort of colds or shorten the disease remains unclear. So whether salt water helps the nose with colds, we can't say.",unknown,Whether nasal rinses or nasal sprays with salt water help with colds (chills) with a blocked or runny nose cannot be answered by the studies conducted to date. This is because they come to contradictory results and are not very conclusive. Whether inhaling with steam from hot salt water helps with colds has not yet been researched.
31,Do remedies with ginseng help with erectile dysfunction?,"No significant effect The current study suggests that no significant improvement can be expected. According to studies, erection ability and satisfaction with sexual intercourse did not increase significantly on average.",no,"Previous studies suggest that dietary supplements with ginseng tend not to bring a significant change. This means that neither erectile function nor sexual satisfaction are likely to improve. At the very least, however, side effects are not likely to occur in large numbers. All assessments are not well substantiated."
32,Can taking spermidine prolong life? Can it prevent diseases?,"Whether spermidine absorbed by food or as a capsule has a life-extending effect in humans, such attempts cannot answer – man differs too much from worms and flies. Spermidine from capsules: unexplored However, we have found no studies at all on the life-prolonging effect of spermidine as a dietary supplement.",unknown,"No study has yet investigated whether spermidine in the form of dietary supplements helps people live longer or healthier. There are two observational studies on the influence of a spermidine-rich diet on life expectancy. However, their results are not conclusive."
33,Can capsules or tablets with lactase improve the symptoms of lactose intolerance and make dairy products more tolerable?,"The magnitude of the effect of lactase and the noticeable improvement of symptoms cannot be derived from all studies. Fewer symptoms with lactase In five studies, the participants from the lactase group reported a total of fewer complaints [2-4.6.7]. In only one study [4], the participants reported a marked improvement after taking lactase – their symptoms were only half as severe. Lactase tablets and capsules may make dairy products at least slightly more compatible with lactose intolerance.",yes,"Tablets and capsules containing the enzyme lactase may alleviate the symptoms of lactose intolerance. It is unclear whether those affected feel the effect clearly. Our assessment is not well substantiated. The studies published to date are very small and, for the most part, poorly conducted."
34,Can weighted blankets help with sleep disorders?,"No evidence of efficacy The result of our research is sobering: We could not find clear indications of a sleep-enhancing effect. Movement measurements of the participants showed that they did not sleep calmer or longer with a weight cover. These results suggest that weight covers do not help with sleep disorders. A positive effect of weight covers on the disturbed sleep is therefore questionable – but we cannot exclude them either. This means: Whether with a heavy or a light blanket – on average there was no difference in total sleep time, time to fall asleep and waking up after the first sleep.",unknown,"Studies to date find no convincing evidence of effective help for sleep disorders - at least in autistic children and adults with mental illness. However, a benefit cannot be ruled out either. More research is needed."
35,Does the drug remdesivir prevent COVID-19 deaths?,"The results are sobering: Remdesivir treatment probably does not prevent deaths from Covid-19 [1,2]. However, Remdesivir is unlikely to be a significant aid in the treatment of Covid-19. Not when it comes to the risk of dying: after two to four weeks Remdesivir had died about the same number of people as without Remdesivir. In the studies, an average of 10 to 11 out of 100 patients died within one month, whether they had received Remdesivir, an ineffective dummy medication (placebo) or the usual medical care [1,2]. Remdesivir therefore does not seem to prevent deaths.",no,"For some time, great hope was placed in Remdesivir in the fight against the pandemic. According to the studies conducted so far, however, the drug cannot prevent deaths from Covid-19. It is of little help that the disease seems to worsen somewhat more slowly with Remdesivir."
36,Does magnetic resonance therapy improve complaints of knee osteoarthritis or herniated discs (e.g. pain)?,"Their results, however, raise doubts about the effect of nuclear resonance therapy against pain and other complaints. None of the studies showed a pain-relieving effect. Twelve weeks later, according to the team of authors, there were no differences in pain, daily limitations and quality of life between the treatment group and the control group.",no,"Previous studies of MBST nuclear magnetic resonance therapy have shown no difference from sham treatment - suggesting that the treatment does not help. However, this judgment cannot be well supported due to the lack of power of the studies."
37,Are oral zinc supplements effective for treating a cold (chill)?,"But according to the current state of knowledge, zinc preparations may help adults [1] to recover a little faster. According to previous studies [1], adults taking zinc could reduce the duration of their cold by around one and a half days. According to the summarized study results, the intake of zinc supplements in adults could reduce the duration of the disease by 1.8 days. Consequently, it may be worth taking zinc supplements for adults if they want to significantly reduce the duration of the disease.",yes,"It is possible that oral zinc supplements may slightly shorten the duration of a cold in adults. However, many details concerning efficacy and safety are still unclear. Studies to date cannot answer the question of whether zinc also has a preventive effect - they are not conclusive enough."
38,Do oral zinc supplements prevent a cold???,We have found that preparations with zinc for oral use – such as lozenges – do not cast away the annoying colds.,unknown,"It is possible that oral zinc supplements may slightly shorten the duration of a cold in adults. However, many details concerning efficacy and safety are still unclear. Studies to date cannot answer the question of whether zinc also has a preventive effect - they are not conclusive enough."
39,Is colloidal gold good for health?,"Apparently, humans have never been investigated whether or which preventive and healing effects could have drinkable gold nanoparticles. The Vienna Environmental Attorney's Office also came to this conclusion: it warned against solutions with silver and gold nanoparticles, as too little is known about their possible harmfulness [5]. Gold against rheumatism A judgment on colloidal gold is therefore not possible due to lack of scientific evidence. Further information We have already reported on the potential benefits and dangers of nanosilver in another article.The studies in detail There are no well-made studies that have investigated the effectiveness of colloidal gold.",unknown,"Statements about a possible health benefit of ""drinkable nano gold"" are not possible, because there are no good studies about it. Gold in other forms can help with rheumatism and other diseases, but side effects often occur."
40,Do probiotics alleviate the symptoms of irritable bowel syndrome?,"Thus, probiotics as a whole could possibly help with irritable bowels. With probiotics there was relief in just under half, with placebo in only one third. Although the probiotics usually cut off better than the sham medication, the effect was very small.",yes,"Three summaries of the best available studies consistently found a small effect. However, it is unclear whether the computationally ""visible"" effect is actually noticeable for people with irritable bowel syndrome. There is also evidence that not all studies have been published."
41,Do you get a stomach ache if you eat cherries or other stone fruit and then drink water?,"Research does not seem to be particularly concerned about the potential risk of this food combination. In any case, we could not find a single study on the subject in our elaborate research. In short, there are no scientific studies that show that drinking water after eating cherries causes discomfort. But this explanation does not seem particularly plausible for the cherries-water myth: On the one hand, the ""problem of short-term gastric acid dilution not only arises with water [6].",unknown,We found no scientific studies or documented case reports showing that drinking water after eating cherries causes discomfort.
42,Can acoustic CR ® neuromodulation according to Tass help with tinnitus?,"Whether the acoustic CR neuromodulation has a positive effect in tinnitus is therefore scientifically unproven (but also not excluded). After both neuromodulation and sham treatment, the participants felt that tinnitus was quieter and less burdensome. Neuromodulation did not appear to be clearly effective.",unknown,"The only two potentially meaningful studies cannot answer the question. This is because they are small and have serious flaws. A large study intended to show the effectiveness of ""acoustic coordinated reset (CR) neuromodulation"" for tinnitus produced inconclusive results - and was never published. Whether the therapy can help with tinnitus thus remains questionable."
43,Is ivermectin an effective drug for treating covid 19 disease?,"According to previous studies, probably wrong: Ivermectin may not have a noticeable effect on a Covid-19 disease: it does not seem to alleviate the disease's symptoms. Both the European Supervisory Authority EMA (European Medical Agency) and the World Health Organization WHO currently advise against the use of ivermectin for the treatment of Covid-19 (as of July 2021) [6,7]. There was no difference between the ivermectin and placebo groups – therefore, ivermectin does not seem to help to mitigate the symptoms typical of Covid-19.",no,"Studies to date suggest that ivermectin does not mitigate covid-19. There is also no evidence that the drug can prevent deaths from covid-19. However, a possible beneficial effect cannot be ruled out with certainty either. Larger studies would be needed for this."
44,Does ivermectin lower the risk of death in covid-19?,"According to you, there is no evidence that ivermectin can prevent deaths. However, since there were only 35 deaths in all studies taken together, no reliable conclusions can be drawn for the event outside the studies.",unknown,"Studies to date suggest that ivermectin does not mitigate covid-19. There is also no evidence that the drug can prevent deaths from covid-19. However, a possible beneficial effect cannot be ruled out with certainty either. Larger studies would be needed for this."
45,Can green tea protect against coronavirus infection or help treat covid-19?,"Thus, it cannot be proven (or ruled out) that green tea protects against Corona infection or can relieve covid-19 disease. Whether the green tea substances concentrate sufficiently in those body cells that are infected by the corona virus is also unclear. We have described what we know about the effectiveness of Gurgel solutions against SARS-CoV-2 in our own article.The studies in detail We have not found any studies that have investigated the effects of green tea on patients with Covid-19.",unknown,"So far, this has not been verified in studies with humans. Such an effect is therefore unclear."
46,Does vitamin D alleviate autism symptoms in children?,"But we could not find any evidence of positive effects on autism. Medicines for the treatment of autism-typical symptoms do not exist [9].The studies in detail We wanted to know whether vitamin D can alleviate the most important symptoms of autism: Are there any improvements in social and communication behaviour? The combined results [1] of the two studies [10.11] do not indicate that vitamin D can improve communication or rigid, repetitive behavioural patterns, whether alone or in combination with omega-3 fatty acids. Overall, the results of the four studies do not give a solid indication that vitamin D helps children with autism. Since only a few children have participated, the results are hardly comparable and partly contradict each other, the significance of the previous studies is small – that is, we can neither prove nor exclude a positive effect.",unknown,"Studies on the subject are sparse and inconclusive. Even if individual studies claim to have observed positive effects, their results are unclear and contradictory. A strong improvement of autism symptoms was not shown in any of the previous studies."
47,Does glutathione improve the tolerability of chemotherapy for cancer?,"Therefore, we cannot make statements about glutathione as a dietary supplement for swallowing, the effect of glutathione in other chemotherapys (without platinum) or in relation to other side effects. Therefore, our conclusion: We cannot confirm or exclude that glutathione infusions mitigate or prevent nerve damage as a side effect of platinum-containing chemotherapy. Thus, no conclusions can be drawn about the potential later use of glutathione.",unknown,"Eight studies have examined whether glutathione can mitigate or prevent nerve damage during platinum-containing chemotherapy. But unfortunately, they do not allow reliable conclusions to be drawn: The studies were rather small, used different measurement tools, and came to contradictory results."
48,Does carnosine relieve autism symptoms in children?,"We have found four studies [1-4] that all come to the same conclusion: They indicate that carnosine is ineffective [5]. Summary results with limited expressiveness No improvement (or deterioration) of symptoms was seen in any of the studies – neither in social interaction, communication, nor in rigid, repeated behaviors. A summary analysis of the study results [5] also indicated no improvement.",no,"Previous studies suggest a lack of efficacy. However, the small number of participants and shortcomings in the study design reduce the significance of the results."
49,Can echinacea protect against Sars-CoV-2 infection or help treat covid-19?,"Even if Echinacea could help against a number of cold viruses, this would not yet prove that it also helps with Covid-19. The European Medicines Agency (EMA) therefore advises from an application up to the age of 12 years and in pregnant women from [3].The studies in detail Despite extensive research in the research databases Pubmed, Cochrane Library and Epistemonikos, we could not find clinical studies with human participants in which the effectiveness of Echinacea was investigated to prevent SARS-CoV-2 infection.",unknown,There are no clinical studies on the prevention of Covid-19. The only study on the treatment of Covid-19 does not allow an assessment due to numerous shortcomings.
50,"Does amygdalin, the toxin from the seeds of apricots and other stone fruits, help against cancer?","Unscientific myth In fact, there is no evidence of a cancer healing or preventive effect. We do not know any meaningful study in which the anti-cancer effect of apricots or the amygdalin contained therein has been investigated [1]. So there is no evidence of an effect against cancer.",unknown,"It is a myth that eating bitter apricot seeds can cure or prevent cancer. Instead, it has been proven that the amygdalin contained in them is toxic. Eating bitter apricot seeds can cause severe poisoning, sometimes fatal."
51,Can ginkgo extract relieve the symptoms of tinnitus?,All three studies came to the same conclusion: Ginkgo extract cannot relieve tinnitus better than placebo (a dummy medicine). So Ginkgo doesn't help with tinnitus better than a placebo – but it probably doesn't hurt either.,no,"Preparations with ginkgo extract cannot help with tinnitus. They do not reduce the volume of the ringing in the ears any more than a placebo. This is the result of a summary of the most significant studies, which all came to the same conclusion."
52,Do remedies with ginkgo help against tinnitus in people with dementia?,"We can therefore neither affirm nor exclude that drugs containing ginkgo extract have a positive influence on the tinnitus of dementia sufferers. Missing information When reading the individual studies [1-4], it remains unclear how many of the dementia patients studied had tinnitus at all – and how the symptoms of this particular subgroup of subjects have changed in the course of the study. In the individual studies [1-4], there is also a lack of information as to whether the tinnitus patients from the ginkgo and placebo groups were similar enough for a fair comparison.",unknown,"The efficacy of ginkgo against tinnitus in dementia patients has been co-tested in a few studies. Some of these studies are not well understood. Based on the results published so far, we cannot make a clear assessment of efficacy - i.e. neither confirm nor exclude that ginkgo helps in this case."
53,Does garlic protect against corona infections?,"Not studied: Anti-Corona effect We have therefore been looking for meaningful studies. However, we have not found any such study to protect us from Corona.",unknown,"We could not find a single meaningful study on the protective effect of garlic against Corona infections. There is no scientific basis for such claims. On the question of whether garlic protects against colds, we were able to evaluate only one study. However, this is relatively small and has gross weaknesses. The supposedly positive result is therefore not reliable."
54,Does garlic protect against a cold (chill)??,"Small study, no safety In terms of cold (""cooling""), we found only one evaluable study, which was relatively small [1].",unknown,"We could not find a single meaningful study on the protective effect of garlic against Corona infections. There is no scientific basis for such claims. On the question of whether garlic protects against colds, we were able to evaluate only one study. However, this is relatively small and has gross weaknesses. The supposedly positive result is therefore not reliable."
55,Do dietary supplements with magnesium and/or zinc improve symptoms in children with ADHD?,"Studies on Magnesium For the benefit of magnesium in ADHD, we have not found a randomized controlled study. In addition, there are further shortcomings, which is why the studies are not meaningful: In one study [1] all children received treatment with certain psychopharmaceuticals, which no longer corresponds to the current state of science. The results of the studies are contradictory: two studies [5.6] suggested a positive effect of zinc. In three other studies [3, 4, 7] there were no differences between the zinc and control groups.",unknown,"For magnesium, we did not find any meaningful studies. For zinc, we were able to identify several studies that appear interesting at first glance. However, the studies are deficient, contradictory and possibly not transferable to the situation in Europe. Therefore, we cannot derive any definite statements."
56,"Does a nasal spray with carrageenan from red algae relieve discomfort from a cold (""chill"")?","Relieving little likely And what if you are already ill and the cooling is full of ""blooming up""? However, it is doubtful that this effect is so great that it makes a noticeable difference for people with a cold. That cold sprays with red algae carragees actually have a great benefit in colds is therefore not likely.",no,Such a nasal spray is unlikely to significantly alleviate cold symptoms or shorten the duration of the cold. Whether the spray can in principle protect against a cold has not yet been researched.
57,Does a nasal spray with carrageenan from red algae prevent colds?,"Preventive effect unclear As far as the theory is concerned. Avoiding contagion Overall, the possibilities for preventing a cold are limited. Because in most cases, the worst is over after a week.The studies in detail To prevent colds, we could not find any studies in our research.",unknown,Such a nasal spray is unlikely to significantly alleviate cold symptoms or shorten the duration of the cold. Whether the spray can in principle protect against a cold has not yet been researched.
58,"Can the ""Miracle Mineral Supplement"" MMS (sodium chlorite) cure diseases or alleviate ailments?","No meaningful studies on MMS There is no evidence that MMS can cure diseases or relieve discomfort. However, there is not the slightest indication that MMS could help against cancer or any other disease such as an infection with coronaviruses. However, this study is so poor that its published results are not meaningful. We doubt, for many reasons, that the reported results can be translated into ""real life"": it is questionable whether the two groups were comparable at the beginning of the study – for example, whether they were equally seriously ill or had an equally high risk of a serious disease.",unknown,"Experts around the world warn against the use of MMS. In several cases, the agent has caused severe poisoning. Claims about a healing effect are untenable rumors. There is no evidence that the substance is effective against autism, malaria, cancer, AIDS or hepatitis, or that it helps with an infection with the coronavirus (Covid-19)."
