idx,label,sentence1,sentence2,explanation
19,contradiction,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is fixing her home.,"It is not feasible to be in the process of fixing a home, while you are also doing a cartwheel."
20,contradiction,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is doing a cartwheel and falls on her head.,A woman doing a cartwheel as opposed to a woman falling while doing a cartwheel.
21,entailment,Two men on bicycles competing in a race.,People are riding bikes.,Two men can also be referred as people and on bicycles competing a race is synonymous of riding bikes.
22,neutral,Two men on bicycles competing in a race.,Men are riding bicycles on the street.,You do not have to ride a bike on the street.
23,contradiction,Two men on bicycles competing in a race.,A few people are catching fish.,A few is more than two people. One cannot catch fish while racing bicycles.
24,neutral,A young boy in a field of flowers carrying a ball,boy leaving baseball game,The boy is not necessarily leaving a baseball game.
25,entailment,A young boy in a field of flowers carrying a ball,boy in field,young boy in a field  is a boy in a field
26,contradiction,A young boy in a field of flowers carrying a ball,dog in pool,The boy cannot also be a dog
27,contradiction,Families waiting in line at an amusement park for their turn to ride.,The restaurant is very bad.,The family is at an amusement park not the restaurant.
28,contradiction,Families waiting in line at an amusement park for their turn to ride.,People are waiting in line at a restaurant.,The people are either at an amusement park or at a restaurant but not at both simultaneously.
29,contradiction,Families waiting in line at an amusement park for their turn to ride.,People are waiting to see a movie.,One does not usually see a movie at an amusement park.
30,entailment,A senior is waiting at the window of a restaurant that serves sandwiches.,A person waits to be served his food.,A person waiting at the window of a restaurant that serves sandwiches is waiting to be served food.
31,contradiction,A senior is waiting at the window of a restaurant that serves sandwiches.,A man is waiting in line for the bus.,The person cannot be waiting at the window of a restaurant and waiting in line for the bus simultaneously.
32,neutral,A senior is waiting at the window of a restaurant that serves sandwiches.,A man is looking to order a grilled cheese sandwich.,A senior is not necessarily a man. Waiting at the window of a restaurant does not necessarily imply wanting to order a grilled cheese sandwich.
33,entailment,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",A person in a suit,"A man is a person, and both sentences mention suits."
34,contradiction,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",Nobody has a suit,If nobody has a suit then a man can't be wearing a suit.
35,neutral,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",A tall person in a suit,Not all tall people are men.
36,entailment,Two women having drinks and smoking cigarettes at the bar.,Two women are at a bar.,"In both description, there are two women at a bar."
37,contradiction,Two women having drinks and smoking cigarettes at the bar.,Three women are at a bar.,There can be either two women or three women.
38,neutral,Two women having drinks and smoking cigarettes at the bar.,Women are celebrating at a bar.,Two women having drinks at a bar aren't necessarily celebrating.
39,contradiction,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A single man is next to a camera,The crowd can't be single man.
40,neutral,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A crowd is dancing,A crowd at an event is not assumed to be dancing.
41,neutral,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A crowd is in front of a camera,The crowd is not indicated to be in front of the camera
42,contradiction,Two doctors perform surgery on patient.,Two surgeons are having lunch.,The subjects cannot perform surgery and be having lunch simultaneously.
43,entailment,Two doctors perform surgery on patient.,Doctors are performing surgery.,TWO  DOCTORS CAN ALSO BE DOCTORS.
44,neutral,Two doctors perform surgery on patient.,Two doctors are performing surgery on a man.,Not every patient is a man
45,contradiction,A white dog with long hair jumps to catch a red and green toy.,A white dog with long hair is swimming underwater.,A dog cannot jump while swimming underwater.
46,entailment,A white dog with long hair jumps to catch a red and green toy.,An animal is jumping to catch an object.,"A dog is an animal, and a red and green toy is an object."
47,neutral,A white dog with long hair jumps to catch a red and green toy.,A white chihuahua mix with long curly hair is jumping to catch a red and green toy bone.,"The dog that jumps is not necessarily a chihuahua with curly hair, and is not necessarily trying to catch a red and green toy bone."
48,neutral,Kids are on a amusement ride.,Kids ride their favorite amusement ride.,It isn't necessarily their favorite ride.
49,contradiction,Kids are on a amusement ride.,A car is broke down on the side of the road.,An amusement ride can not be a car.
50,entailment,Kids are on a amusement ride.,Kids ride an amusement ride.,Kids ride on amusement rides.
51,neutral,A man in a black shirt is playing golf outside.,A man plays on a golf course to relax.,"Not all who play golf do so on a course, or to relax."
52,contradiction,A man in a black shirt is playing golf outside.,The man in the black shirt trades Pokemon cards with his girlfriend.,He is either playing golf or trading Pokemon cards.
53,entailment,A man in a black shirt is playing golf outside.,The man wearing the black shirt plays a game of golf.,In the golf game man can wear any dress not only a black shirt.
54,neutral,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,a blond man laughs while doing laundry,You can not infer he laughs.
55,entailment,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,a guy laughs while doing laundry,"When one finds it humorous, one laughs."
56,contradiction,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,two ladies pin clothes to dry,There is either an older gentlemen getting his picture taken or two ladies pinning clothes. These statements are entirely contradictory.
57,entailment,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,An Indian woman is doing her laundry in a lake.,"For someone to be doing their laundry they'd need water to clean it, a lake has water, and laundry has to be dirty for it to need to be done."
58,contradiction,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,An Indian woman is putting her laundry into the machine.,Using a lake to clean laundry is not using a machine to clean laundry
59,neutral,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,An Indian woman is doing laundry for her son in the lake.,The boy might not be her son.
60,contradiction,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,They are driving cars.,One cannot drive a car while wearing rollerskates.
61,neutral,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,They both fall to the ground.,The combination of stumbling and colliding may not leave them both on the ground.
62,entailment,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,The man stumbles stumbles in rollerskates.,A man stumbles while wearing rollerskates.
63,contradiction,A group of onlookers glance at a person doing a strange trick on her head.,A boy does a card trick.,A group is not a single boy
64,neutral,A group of onlookers glance at a person doing a strange trick on her head.,Onlookers are impressed by the trick.,Glancing at a strange trick does not infer the onlookers are impressed.
65,entailment,A group of onlookers glance at a person doing a strange trick on her head.,People watch another person do a trick.,People watch a person doing a strange trick.
66,contradiction,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,Only one woman is wearing a head scarf.,"If only one woman is wearing a headscarf, then she can't be walking next to another woman wearing a headscarf."
67,neutral,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,These two women are friends.,Not all women who walk beside one another are friends.
68,contradiction,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",A man is chasing an SUV that is going in the same direction as him.,Action of chasing an SUV going in the same direction as opposed to walks down the street in the other direction.
69,entailment,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",An SUV and a man are going in opposite directions.,Opposite directions indicates the SUV and man are each going in the other direction.
70,neutral,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",A taxi SUV races to pick up some clients while a man walks peacefully in the other direction.,You can not infer the SUV races.
71,contradiction,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,Nobody has a shirt on,People can't be wearing red shirts if nobody has a shirt on.
72,entailment,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,A person in a shirt,"There is a group of peolple standing in pool with red shirts on , having a grand time"
73,neutral,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,A tall person in a shirt,It's not just tall people that wear shirts.
74,contradiction,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is wearing a black shirt,White and black are two different colors.
75,entailment,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is wearing a white shirt,The man is wearing a white t-shirt.
76,neutral,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is taking photos while on tour in nyc,Taking  a picture in the middle of the street doesn't imply that one is  in on tour in nyc.
77,neutral,A shirtless man is singing into a microphone while a woman next to him plays an accordion.,He is Polish.,You can not infer he is Polish.
78,contradiction,A shirtless man is singing into a microphone while a woman next to him plays an accordion.,He is playing a saxophone.,A person cannot be singing and playing a saxophone simultaneously.
79,entailment,A shirtless man is singing into a microphone while a woman next to him plays an accordion.,A man is singing into a microphone.,Sentence 1 states that a man is singing into a microphone.
80,neutral,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,It is very sunny outside.,"Just because a group of people are sitting inside and outside the shade, does not mean that it is very sunny outside."
81,entailment,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The woman and kids and sitting down.,They are sitting outside in the shade.
82,contradiction,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The woman is running.,a woman can not be sitting outside in the shade while running
83,contradiction,A pregnant lady singing on stage while holding a flag behind her.,A woman is sick in bed.,A pregnant lady is contradictory to a woman.
84,entailment,A pregnant lady singing on stage while holding a flag behind her.,A woman is making music.,Pregnant lady implies woman.
85,neutral,A pregnant lady singing on stage while holding a flag behind her.,A lady is participating in a talent show.,A lady singing on stage with a flag cannot be assumed to be participating in a talent show.
86,entailment,The two farmers are working on a piece of John Deere equipment.,Men are working on John Deere equipment,The two farmers can also be denoted as men as they work on an equipment.
87,entailment,The two farmers are working on a piece of John Deere equipment.,John Deere equipment is being worked on by two farmers,Farmers worked on John Deere equipment.
88,contradiction,The two farmers are working on a piece of John Deere equipment.,2 Men are making a pool together,Farmers cannot working on John Deere equipment while making a pool together.
89,neutral,A little boy in a blue shirt holding a toy.,Boy dressed in blue carrying toy to a toybox.,A boy can hold a toy without carrying it to a toybox.
90,contradiction,A little boy in a blue shirt holding a toy.,Boy dressed in red lighting things on fire.,"The boy can't be dressed in a red shirt and a blue shirt at the same time, as well as he can't be holding a toy and lighting things on fire at the same time."
91,entailment,A little boy in a blue shirt holding a toy.,Boy dressed in blue holds a toy.,Wearing a blue shirt is the same thing as being dressed in a blue shirt. In both sentences they are holding a toy.
92,neutral,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The woman is writing a grocery list.,Writing something on a post-it note does not necessarily mean it is a grocery list.
93,contradiction,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The woman is talking on the phone.,A woman cannot write something on a note hanging on a board while talking on the phone.
94,entailment,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The woman is writing a note.,The woman needed to write a note so she use a post-it note to write on.
95,entailment,A baby at the end of a slip and slide at a party,The baby is wet.,Slip and slide implies wet.
96,contradiction,A baby at the end of a slip and slide at a party,The man is at the end of the slip and slide,It is either a baby or a man.
97,entailment,A baby at the end of a slip and slide at a party,There is a party,A party is a party.
98,neutral,A girl swings high in the air.,A girl is gaining momentum to flip off the swing,You can not infer she is going to flip off the screen.
99,contradiction,A girl swings high in the air.,A girl is laying in the pool,Answer : The girl who swings cannot be laying in the pool simultaneously.
100,entailment,A girl swings high in the air.,A girl is on a swing,A girl swings high in the air means the girl is on a swing.
101,neutral,A view of the back of a woman having a beverage.,woman drinks a beer,A beverage does not imply a beer.
102,contradiction,A view of the back of a woman having a beverage.,woman dumps the drink on a man,"She can either be having a beverage or dumping it on a man, but not both at the same time."
103,entailment,A view of the back of a woman having a beverage.,woman has a drink,The word beverage is a rephrasing of the word drink.
104,entailment,A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.,A person sitting,A lady is a person.
105,neutral,A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.,A tall person sitting,A lady is not necessary a tall person.
106,contradiction,A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.,Nobody is sitting,"Nobody is sitting or am I sitting,  on a bench that is against a building and under a poster of a man in a uniform waving."
107,neutral,A man with a shopping cart is studying the shelves in a supermarket aisle.,The man is trying to pick out what cereal to choose.,The man could be studying shelves that do not have cereal.
108,contradiction,A man with a shopping cart is studying the shelves in a supermarket aisle.,A man is watching a movie in a theater.,A man can't be watching a movie and studying in two different locations.
109,entailment,A man with a shopping cart is studying the shelves in a supermarket aisle.,There is a man inside a supermarket.,Man inside a supermarket implies studying the shelves.
110,entailment,"A man wearing sunglasses is sitting on the steps outside, reading a magazine.",The man is sitting.,A man is sitting on steps.
111,neutral,"A man wearing sunglasses is sitting on the steps outside, reading a magazine.",The man is reading tips on how to be a better boy friend.,A magazine has other articles besides tips on how to be a better boyfriend.
112,contradiction,"A man wearing sunglasses is sitting on the steps outside, reading a magazine.",The man is reading a spoon with the words 'HELP ME' on it.,Reading a spoon with something written on it does not imply reading a magazine.
113,contradiction,"A woman sitting outside weaving a long piece of red, white, and blue cloth.",He is jumping over a house,A person cannot be weaving and jumping over a house at once.
114,entailment,"A woman sitting outside weaving a long piece of red, white, and blue cloth.",She is working with cloth,She is the pronoun use for a woman subject.  A woman weaving a cloth is working with a cloth.
115,neutral,"A woman sitting outside weaving a long piece of red, white, and blue cloth.",She is weaving an american flag,"Red, white and blue cloth is not assumed to be the american flag."
116,entailment,A person powerwashing stairs leading down to a pool.,a person washes stairs,powerwashing stairs is the same as washes stairs
117,entailment,A person powerwashing stairs leading down to a pool.,a worker cleans near the pool,"Worker, refers to the the person powerwashing the stairs."
118,contradiction,A person powerwashing stairs leading down to a pool.,a dog chases a cat,A person is not the same as a dog.
119,contradiction,A person rides his bicycle in the sand beside the ocean.,A person is falling off his bike.,One cannot be riding a bicycle and falling simultaneously.
120,contradiction,A person rides his bicycle in the sand beside the ocean.,A person is on a boat.,One cannot be on a boat and riding his bicycle at the same time
121,entailment,A person rides his bicycle in the sand beside the ocean.,A person is on a beach.,A beach is the same as beside the ocean.
122,entailment,"Two black little boys hanging over an upside down bicycle, one examining the pedal.",Children were looking at a bike.,Examining and looking are synonyms.
123,neutral,"Two black little boys hanging over an upside down bicycle, one examining the pedal.",the children are outside.,The children would not be outside.
124,contradiction,"Two black little boys hanging over an upside down bicycle, one examining the pedal.",Someone is riding a bike.,There are two little boys not just one person looking at the bike
125,neutral,A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,The dogs are out to catch fish.,It is not necessarily true that they are trying to catch a fish.
126,contradiction,A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,The pets are sleeping on the grass.,There isn't grass at the edge of the ocean.
127,entailment,A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,The dogs are swimming among the boats.,Dogs are swimming in the ocean.
128,entailment,A group of people prepare hot air balloons for takeoff.,A group of people are outside.,Hot air balloons are used outside.
129,contradiction,A group of people prepare hot air balloons for takeoff.,A group of people prepare cars for racing.,It cannot be both cars and hot air balloons being prepared simultaneously
130,neutral,A group of people prepare hot air balloons for takeoff.,There are hot air balloons on the ground and air.,You can not infer they are on the ground and air.
131,entailment,Men stand on steps leading out of a body of water,Men are standing on some steps near some water.,The man is standing on the steps.
132,contradiction,Men stand on steps leading out of a body of water,Men are sitting outside near a golf course.,men are either standing leading to a body of water or sitting near a golf course
133,neutral,Men stand on steps leading out of a body of water,Men are standing by a docked boat.,Men standing on steps near water are not necessarily by a docked boat.
134,neutral,A group of young people with instruments are on stage.,People are performing as a band for a crowd.,A group of people with instruments on a stage does not imply that they are performing as a band. A group of people on a stage does not imply a crowd is present.
135,contradiction,A group of young people with instruments are on stage.,Young people are playing water polo.,The people cannot simultaneously be on stage and be playing water polo
136,neutral,A group of young people with instruments are on stage.,People are playing music.,"The young people could just be displaying the instruments, having an instrument and playing music are different things."
137,entailment,A long-beaked bird in mid-flight.,A bird flying.,Flying and mid-flight are synonyms.
138,contradiction,A long-beaked bird in mid-flight.,A rat running on a wheel.,A bird is different from a rat.
139,neutral,A long-beaked bird in mid-flight.,A bird chasing an insect.,Being in mid flight does not mean it is chasing an insect.
140,neutral,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The boy is outside and running from cops.,Just because holding onto a gun does not mean he is running from cops.
141,neutral,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The young boy is completing a heist.,Not all armed young boys speeding away in cars are completing a heist.
142,neutral,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The bank has just been robbed.,The bank has not necessarily just been robbed.
143,neutral,A man in the middle east with a corn-on-the-cob cart selling corn.,An old middle eastern man is selling corn-on-the-cob from his brother's cart.,You can not infer the man is old.
144,entailment,A man in the middle east with a corn-on-the-cob cart selling corn.,"In the middle east, a man sells corn-on-the-cob from a cart.",Corn-on-the-cob cart selling corn is a rephrasing of sells corn-on-the-cob from a cart.
145,contradiction,A man in the middle east with a corn-on-the-cob cart selling corn.,A middle east man is throwing corn at strangers.,A man with a corn-on-the-cob cart could not have been throwing corn at strangers.
146,entailment,A man in a black shirt is playing a guitar.,He is playing a song.,It makes sense for the guitarist to be playing a song
147,contradiction,A man in a black shirt is playing a guitar.,The man is wearing a blue shirt.,Either the shirt is blue or it is black.
148,entailment,A man in a black shirt is playing a guitar.,The man is wearing black.,The man is in a black shirt meaning he must be wearing black.
149,contradiction,"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",A group of people in a motorcade driving past an audience.,Walking and driving are different actions
150,entailment,"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",A group of people walking down a road.,"A group of people walk down the road, with onlookers behind a barricade."
151,neutral,"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",A group of people walking past a group of civilian spectators.,Onlookers behind a barricade aren't always civilian spectators.
152,contradiction,A woman is talking on the phone while standing next to a dog.,A woman is sleeping.,The woman cannot be both standing and talking on the phone while also sleeping.
153,neutral,A woman is talking on the phone while standing next to a dog.,A woman is walking her dog.,A woman standing next to a dog is not necessarily walking her dog.
154,entailment,A woman is talking on the phone while standing next to a dog.,A woman is on the phone.,"Sentence 2 is a shortened version of sentence 1, where a woman is on the phone."
155,neutral,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The boys are all wearing yellow.,Boys are not assumed to be wearing yellow.
156,neutral,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The boy is crouching down to take a picture.,Just because a boy is holding a camera doesn't mean that he is crouching down.
157,entailment,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The young boy has a camera.,Holding a camera implies has a camera.
158,contradiction,5 women sitting around a table doing some crafts.,Five men stand on chairs.,The group is either of men or women.  The people are either sitting or standing.
159,entailment,5 women sitting around a table doing some crafts.,Five women sit at a table.,Sitting around a table is a paraphrase of sit at a table.
160,neutral,5 women sitting around a table doing some crafts.,Five friends sit at a table.,Friends are not always all women.
161,neutral,Street performer with bowler hat and high boots performs outside.,The man is performing a magic act.,"The street performer could be doing a different act, not just a magic act."
162,entailment,Street performer with bowler hat and high boots performs outside.,The person is performing.,If a person is performing outside it implies that they are a street performer.
163,contradiction,Street performer with bowler hat and high boots performs outside.,The child is dancing inside.,"The street performer most likely refers to an adult, not a child. Outside and inside are opposites."
164,neutral,A young boy playing in the grass.,The boy is playing make believe.,Just because he is playing in the grass does not mean he is playing make believe.
165,entailment,A young boy playing in the grass.,There is a child in the grass.,A young boy is a child.
166,contradiction,A young boy playing in the grass.,The boy is in the sand.,The boy cannot play in the grass and the sand at the same time.
167,neutral,Two men playing baseball with the one in the black and red jersey running toward base.,The man in black and red is about to score the winning run.,"Baseball consists of people running the bases all game, the winning run can only happen once per game."
168,entailment,Two men playing baseball with the one in the black and red jersey running toward base.,There is a baseball game going on.,Baseball game implies playing baseball.
169,contradiction,Two men playing baseball with the one in the black and red jersey running toward base.,The man in black and red is sitting in the bleachers.,The man in the jersey cannot be running and sitting simultaneously
170,neutral,A man and a woman are looking at produce on display.,A man and women are staring at heads of lettuce.,People can star at produce without it being heads of lettuce.
171,contradiction,A man and a woman are looking at produce on display.,Two men throw produce at each other for fun.,A man and a woman is different from two men and while one is looking at a produce the other throw the produce at each other.
172,entailment,A man and a woman are looking at produce on display.,A man and woman are looking at produce.,A man and woman is a paraphrase of a man and a woman.
173,contradiction,People are throwing tomatoes at each other.,The people are sitting and eating their food.,People who are eating do not throw tomatoes at each other.
174,neutral,People are throwing tomatoes at each other.,The men are covered in tomatoes.,People can mean that it is not just men.
175,entailment,People are throwing tomatoes at each other.,The people are having a food fight.,It is implied that throwing tomatoes at each other is having a food fight.
176,entailment,People standing in line of a beer and curry line.,People standing in line,The people standing in a line probably want something
177,neutral,People standing in line of a beer and curry line.,People happily standing in line,People rarely happily stand in line.
178,contradiction,People standing in line of a beer and curry line.,People not standing in line,People cannot being standing in line and not standing in line at the same time.
179,contradiction,A man and a woman are talking in a park,A man and woman are talking in the aquarium.,They cannot be talking in a park if they are talking in the aquarium.
180,neutral,A man and a woman are talking in a park,The couple discuss their financial future in the park.,"There is nothing to indicate what they are talking about, or specifically that they are talking about their financial future."
181,entailment,A man and a woman are talking in a park,A pair of people are talking outdoors.,A pair is composed of a man and a woman.  A park is always outdoors.
182,contradiction,A small ice cream stand with two people standing near it.,Two people selling ice cream from a car.,The two people cannot be both near an ice cream stand and be selling from a car simultaneously
183,entailment,A small ice cream stand with two people standing near it.,Two people standing outside an ice cream stand.,Peoples are standing outside to buy ice cream.
184,neutral,A small ice cream stand with two people standing near it.,Two people in line to buy icecream.,Being near a stand doesn't mean you have to buy anything.
185,contradiction,Number 916 is hoping that he is going to win the race.,A person is is playing baseball.,One person is playing baseball while Number 916 is hoping to win a race.
186,neutral,Number 916 is hoping that he is going to win the race.,A person is betting that he will win  the race.,Number 916 might not be a person. Just because he is hoping that he is going to win doesn't mean he is betting that he will win.
187,entailment,Number 916 is hoping that he is going to win the race.,A person is competing in a race.,The person is competing because he is hoping that he wins the race.
188,contradiction,Girl plays with colorful letters on the floor.,The girl is playing a video game in the bath.,The girl is either on the floor or in the bath. The girl is either playing with letters or a video game.
189,neutral,Girl plays with colorful letters on the floor.,The girl is spelling out her favorite words with colored letters.,Just because she is playing with letters does not mean she is spelling out words.
190,entailment,Girl plays with colorful letters on the floor.,The girl is having fun learning her letters.,A girl who is playing with letters is having fun learning with them.
191,entailment,Two men are cooking food together on the corner of the street.,The men are making something to eat.,"""Making something to eat"" is a definition of cooking."
192,neutral,Two men are cooking food together on the corner of the street.,The two men are cooking food for the block party.,Food can be cooked for things other than a block party.
193,contradiction,Two men are cooking food together on the corner of the street.,The two men are running in a race.,The two men cannot be cooking and running at the same time.
194,contradiction,A man wandering in the desert as the clouds roll in.,A man fights dead mummy's who magically came alive in the desert.,Wandering in the desert is a different activity than it would be to fight dead mummy's.
195,entailment,A man wandering in the desert as the clouds roll in.,A man wonders in the desert.,Wondering is same meaning with wandering.
196,neutral,A man wandering in the desert as the clouds roll in.,A man and a camel wonder in the desert.,It isn't clear that there is a camel present as the man wanders.
197,contradiction,A lady with bright orange hair walking in a crowd.,The woman is asleep.,Walking is contradictory to sleeping.
198,entailment,A lady with bright orange hair walking in a crowd.,A woman is near a group of people.,A lady is a woman.  A crowd is a group of people.
199,contradiction,A lady with bright orange hair walking in a crowd.,The street performer is entertaining the tourists.,A street performer wouldn't be walking in a crowd during his or her act.
200,neutral,"A white-haired man with a mustache and glasses in a business suit stands outside at a podium marked with the seal of the US House of Representatives, surrounded by many people, with a columned building behind him.",The man is getting ready to speak.,A man outside at a podium does not necessarily mean his is getting ready to speak.
201,contradiction,"A white-haired man with a mustache and glasses in a business suit stands outside at a podium marked with the seal of the US House of Representatives, surrounded by many people, with a columned building behind him.",The man is sitting in a chair inside.,Standing and sitting cannot be done simultaneously.
202,contradiction,A man running a marathon talks to his friend.,There are people canoeing down a river.,One cannot run a marathon and be canoeing at the same time.
203,entailment,A man running a marathon talks to his friend.,There is a man running.,Whether running a marathon or a race he is running.
204,neutral,A man running a marathon talks to his friend.,A man and his friend are running a marathon together.,He can talk to friend who is taking part in race.
205,contradiction,A lot of people walking outside a row of shops with an older man with his hands in his pocket is closer to the camera.,A lot of dogs barking outside a row of shops with a cat teasing them.,The subject is either animals or people.
206,entailment,A lot of people walking outside a row of shops with an older man with his hands in his pocket is closer to the camera.,A lot of people walking outside a row of shops with a man with hands in his pockets.,An older man is a type of man.
207,neutral,A lot of people walking outside a row of shops with an older man with his hands in his pocket is closer to the camera.,People are looking through the shops for stuff to buy.,Just because people walk outside a row of shops does not mean that they are looking through the shops for stuff to buy.
