,questions,documents,answers,explanations
10,Lindern pflanzliche Mittel mit Kapuzinerkresse und Meerrettich die Beschwerden bei einer Blasenentzündung so gut wie ein Antibiotikum??,"Dabei linderte das Antibiotikum die Beschwerden schneller als das Mittel mit Kapuzinerkresse und Meerrettich, nach acht Tagen gab es keinen Unterschied mehr. Demnach dürfte das das pflanzliche Mittel also wohl kein vollwertiger Ersatz für ein Antibiotikum sein.",unknown,"Zur Vorbeugung haben wir nur eine kleine, aber einigermaßen verlässliche Studie gefunden. Demnach können Kapuzinerkresse-Meerrettich-Mittel Blasenentzündungen wohl nicht verhindern. Zur Behandlung einer Blasenentzündung konnten wir ebenfalls nur eine Studie auswerten. Sie lässt aber zu viele Fragen offen, um die Wirksamkeit klar einschätzen zu können."
11,Hilft die Misteltherapie gegen Krebs oder kann sie die Lebensqualität von Krebskranken verbessern?,"Es ist derzeit unklar, ob an Krebs Erkrankte durch die Misteltherapie länger oder besser leben. Keine Verlängerung der Überlebenszeit nachweisbar  Die Analyse der bisher veröffentlichten Studien zum Überleben [1] zeigen: Insgesamt scheint die Mistel-Therapie die Lebenszeit von Krebskranken nicht verlängern zu können. Um die zu belegen fehlen – auch nach rund hundert Jahren noch – aussagekräftige Studien.Die Studien im Detail   Wir suchten in drei verschiedenen Datenbanken nach Übersichtsarbeiten, die die derzeitige Studienlage zur Misteltherapie bei Krebs zusammenfassen.",unknown,"Die Misteltherapie bei Krebs wurde zwar in einigen Studien untersucht. Diese sind jedoch sehr mangelhaft und kommen zu uneinheitlichen Ergebnissen. Eine Wirksamkeit der Misteltherapie können sie nicht belegen. Zudem besteht der Verdacht, dass Mistelpräparate bei manchen Krebsarten das Tumorwachstum sogar anregen könnten."
12,Können homöopathische Mittel Erkältungskrankheiten bei Kindern vorbeugen?,"Nutzen zur Vorbeugung unwahrscheinlich  Das Fazit der Übersichtsarbeit: Wahrscheinlich ist die Homöopathie kein wirksames Mittel zur Vorbeugung von Erkältungen bei Kindern. Kinder, die regelmäßig homöopathische Mittel einnahmen, wurden in den aussagekräftigen Studien nicht seltener krank und ihre Erkältungen verliefen auch nicht milder. Insgesamt konnten die Studien keinen vorbeugenden Effekt von homöopathischen Mitteln finden; sie reduzieren weder die Häufigkeit noch die Schwere von Erkältungskrankheiten.",no,Gut durchgeführte Studien finden weder einen vorbeugenden noch einen lindernden Effekt von Homöopathie bei Erkältungen (Verkühlungen) von Kindern. Für ein wirklich aussagekräftiges Ergebnis haben diese Studien jedoch zu wenige Kinder untersucht. Für eine klare Antwort wären größere Studien nötig.  Wissenschaftlich plausibel ist eine Wirksamkeit homöopathischer Mittel nicht.
13,Können homöopathische Mittel Erkältungskrankheiten bei Kindern lindern??,"Kinder, die regelmäßig homöopathische Mittel einnahmen, wurden in den aussagekräftigen Studien nicht seltener krank und ihre Erkältungen verliefen auch nicht milder. Die wenigen gut durchgeführten Studien zeigten zwar eindeutig keinen Effekt von Homöopathie gegen Erkältungen.",no,Gut durchgeführte Studien finden weder einen vorbeugenden noch einen lindernden Effekt von Homöopathie bei Erkältungen (Verkühlungen) von Kindern. Für ein wirklich aussagekräftiges Ergebnis haben diese Studien jedoch zu wenige Kinder untersucht. Für eine klare Antwort wären größere Studien nötig.  Wissenschaftlich plausibel ist eine Wirksamkeit homöopathischer Mittel nicht.
14,Verbessern Mittel mit Uridin und/oder Cytidin die Beschwerden bei Polyneuropathie?,"Denn trotz Suche in drei großen Datenbanken haben wir keine Studien finden können, die diese Kriterien erfüllten. Ob Mittel mit Uridin und/oder Cytidin also tatsächlich bei Polyneuropathien helfen, können wir auf dieser Basis nicht abschätzen.",unknown,Wir haben zu dieser Frage keine aussagekräftigen Studien finden können.
15,Können Behandlungen mit Ultraschall die Schmerzen bei Arthrose lindern?,"In drei Studien [3-5] zeigte sich in der Ultraschallgruppe durch die Behandlung kein deutlicher Vorteil. [2]  Viele Versprechungen, wenig dahinter  Arthrose kann die Lebensqualität stark beeinträchtigen. Die Zusammenfassung der unterschiedlichen Studienergebnisse deute zwar rein rechnerisch darauf hin, dass Ultraschall als Therapie keine schmerzlindernde Wirkung hat. Daher müssen besser durchgeführte Studien die mögliche Wirksamkeit der Ultraschalltherapie gegen Arthroseschmerzen klären.",unknown,"Ob Ultraschall bei einer Arthrose der Kniegelenke helfen kann, haben zwar etliche Studien untersucht. Schlau wird man aus ihren Ergebnissen jedoch nicht, für eine sichere Aussage sind die Studienergebnisse zu widersprüchlich. Für Arthrose der Hüfte- oder Hände ist das gar nicht untersucht."
16,Verringert regelmäßiger Sport die Schwere und Dauer von Erkältungen und anderen Atemwegsinfekten?,"Die Studien deuten aber darauf hin, dass sich Dauer und Schwere von Atemwegsinfekten durch regelmäßigen Sport verringern lassen. Demnach erhöht regelmäßige Bewegung die Lebenserwartung und verringert unter anderem das Risiko für   Herz-Kreislauf-Erkrankungen wie Herzinfarkt oder Schlaganfall  Diabetes  Krebs  Depressionen. Die Untersuchungen deuten darauf hin, dass sich die Anzahl der Infekte durch Sport zwar nicht senken lässt; aber möglicherweise fallen Erkrankungschwere und insgesamte Krankheitsdauer etwas milder aus.",yes,"Bisherigen Studien deuten an, dass  Sport-treibende Menschen möglicherweise genauso häufig Atemwegsinfektionen haben wie Sport-Muffel. Allerdings dürften die Erkrankungen etwas weniger schwer und insgesamt ein bisschen kürzer sein."
17,"Kann regelmäßiger Sport verhindern, an einer Erkältung oder anderen Atemwegsinfekten zu erkranken??","Menschen, die regelmäßig Sport treiben, dürften genauso häufig an Atemwegsinfekten erkranken wie Sport-Muffel. Die Untersuchungen deuten darauf hin, dass sich die Anzahl der Infekte durch Sport zwar nicht senken lässt; aber möglicherweise fallen Erkrankungschwere und insgesamte Krankheitsdauer etwas milder aus.",no,"Bisherigen Studien deuten an, dass  Sport-treibende Menschen möglicherweise genauso häufig Atemwegsinfektionen haben wie Sport-Muffel. Allerdings dürften die Erkrankungen etwas weniger schwer und insgesamt ein bisschen kürzer sein."
18,"Kann kalt duschen, kalt baden oder Kaltwassertreten nach Kneipp Erkältungen und Atemwegsinfekte bei Erwachsenen vorbeugen?","Nach Auswertung der besten verfügbaren Studien sind wir zu dem Schluss gekommen, dass die Frage schlicht nicht gut genug untersucht ist, um sich für oder gegen eine Wirksamkeit auszusprechen. Auch diese Studien können eine Wirkung weder belegen noch ausschließen.",unknown,"Die drei bisher durchgeführten Studien sind zu mangelhaft, um diese Frage beantworten zu können."
19,"Kann die Wim-Hof-Methode – bestehend aus Atemtraining, Meditation und Gewöhnung an Kälte – das Immunsystem von Gesunden stärken und so Infektionskrankheiten vorbeugen?","Kälte ohne nachgewiesene Wirkung für die Gesundheit  Für keines dieser Versprechen gibt es Belege. Die Studie kann auch nicht beantworten, ob Trainierte weniger stark auf das Bakteriengift reagierten als Nicht-Trainierte – denn dazu fehlen genaue Daten. Auch wenn die Studie besser durchgeführt worden wäre: In wie weit dies tatsächlich gesundheitliche Vorteile wie ein verringertes Risiko für Infektionskrankheiten mit sich bringt, ist völlig spekulativ. Selbst wenn sie methodisch besser gemacht wäre, könnte sie nicht beantworten, ob es die Kälte ist, die irgendetwas bewirkt. Die Kälterekorde von Wim Hof sind teilweise beeindruckend, aber ob Kältetraining einen gesundheitlichen Nutzen hat, kann diese Studie nicht einmal ansatzweise belegen.",unknown,"Es gibt zwar einzelne kleine Studien zur Wim-Hof-Methode, diese sind jedoch mangelhaft und nicht aussagekräftig. Ob die Methode die Wahrscheinlichkeit für Infektionskrankheiten verringert, ist nie erforscht worden."
20,Verbessern Sägepalmen-Präparate im Vergleich zu Placebo längerfristig die Beschwerden bei einer gutartig vergrößerten Prostata (benigne Prostatahyperplasie)?,"Nicht besser als Placebo  Die beiden systematischen Übersichtsarbeiten [1,2] kommen in der Zusammenfassung übereinstimmend zu dem Ergebnis: Die Sägepalmen-Präparate lindern die Prostatabeschwerden nicht besser als ein Scheinmedikament. In anderen Studien, die Sägepalme als Zusatz zu Tamsulosin testeten, brachte die zusätzliche Gabe von Sägepalme keinen extra Nutzen.",no,Laut aktueller Studienlage verbessern Mittel mit Sägepalme die Beschwerden bei einer gutartig vergrößerten Prostata längerfristig nicht mehr als ein Scheinmedikament. Diese Einschätzung ist gut abgesichert.
21,Hilft Honig gegen akuten Husten bei Kindern?,"Wahrscheinlich wirksam – ein wenig  Es zeigte sich, dass Honig als Anti-Husten-Mittel durchaus eine gewisse Berechtigung haben dürfte. Mit Honig war die Heftigkeit des Hustens am nächsten Tag um rund 2 Punkte besser. Demnach kann Honig Kindern mit akutem Husten offenbar ein wenig helfen, indem Beschwerden gelindert und die Dauer verkürzt werden. Auch die Verkürzung der Hustendauer war wahrnehmbar, aber nicht spektakulär: Sie reduzierte sich von gut 5 Tagen (mit Placebo) auf etwa viereinhalb Tage (mit Honig). Demnach dürfte sich Honig sowohl auf die Dauer des Hustens sowie auf die mit dem Husten verbundenen Beschwerden positiv auswirken, wenn auch nur in bescheidenem Rahmen.",yes,"Honig dürfte Kindern mit akutem Husten helfen: Die Hustenattacken werden wahrscheinlich etwas seltener, schwächer und weniger belastend. Auch der Schlaf von Kindern und Eltern kann sich verbessern, und die Zeit bis zum Abklingen ist wahrscheinlich ein wenig verkürzt. Allerdings sind die erzielten Effekte nur klein."
22,Kann Artemisia-Tee Malaria so gut heilen wie Medikamente?,"Und selbst wenn es die Probleme mit den Resistenzen nicht gäbe – es ist fraglich, ob Artemisia-Mittel aus dem nicht-professionellen Eigenanbau mit der standardisierten Qualität von Artemisinin-Medikamenten verlässlich mithalten könnten. Anhand der uns vorliegenden Studien können wir den Nutzen von Artemisia-Tee zur nachhaltigen Malariabehandlung mit geringer Rückfallwahrscheinlichkeit weder eindeutig belegen noch komplett ausschließen.",unknown,"Vier Studien mit insgesamt relativ wenigen Teilnehmenden kommen zu widersprüchlichen Ergebnissen. Da alle Untersuchungen Probleme aufweisen, können wir keine aussagekräftigen Schlussfolgerungen zum Heilungserfolg ziehen – also eine positive nachhaltige Wirkung weder bestätigen noch ausschließen."
23,Hilft Thymian gegen Husten?,"Wir konnten keine einzige klinische Studie finden, die ausschließlich Thymian auf eine Wirkung gegen Husten untersucht hat. Vermutungen ohne Belege  Dass Inhaltsstoffe des Thymians tatsächlich Husten lindern können, ist zwar nicht bewiesen, aber auch nicht widerlegt. Allerdings gibt es bisher keine wissenschaftlichen Belege, dass das Schleimlösen an sich eine lindernde oder verkürzende Wirkung auf Husten hat [7,8] . Ob Thymian allein Husten lindern kann, lässt sich daher nicht direkt sagen.",unknown,"Ob Thymian gegen Husten wirkt, ist bisher nicht in aussagekräftigen Studien erforscht."
24,Lindert Coenzym Q10 Muskelbeschwerden bei der Behandlung mit Statinen?,"In sieben Studien ging es der Coenzym-Q10-Gruppe nicht besser als der Placebogruppe. Als das Forschungsteam diese Studie aus der Gesamtauswertung entfernte, kamen die restlichen Studien zusammengefasst rechnerisch zu einem relativ ähnlichen Ergebnis: Coenzym Q10 hilft nicht besser als ein Scheinmedikament.",unknown,"Mehrere Studien kommen zu widersprüchlichen Ergebnissen. Außerdem ist die Schwankungsbreite des geschätzten Effekts ist sehr groß, und die einzelnen Untersuchungen haben gewisse Mängel. Auf dieser Basis sind keine sicheren Schlussfolgerungen möglich."
25,Hilft der Chaga-Pilz gegen Krebs oder andere Erkrankungen?,"Über die Wirkung im menschlichen Körper können solche Studienergebnisse nichts Konkretes sagen. Ob der Chaga-Pilz Krankheiten heilen oder vorbeugen kann, lässt sich daher nicht beantworten.",unknown,Die Wirkung von Chaga-Pilzen ist bisher nicht in Studien mit Menschen untersucht.
26,"Kann das Herausfiltern von blauem Licht mittels Blaufilter-Brillen oder Nachtmodus-Einstellung am Smartphone-, Tablet- oder Laptop-Bildschirmen den Schlaf günstig beeinflussen?","Mit aktiviertem Blaufilter-Nachtmodus oder Blaufilter-Brille brauchten die Teilnehmenden ähnlich lange, um einzuschlafen wie ohne Blaufilter. Vielleicht reicht auch die Menge an blauem Licht bei Tablets, Smartphones, Ebook-Readern oder Laptop-Bildschirmen nicht aus, um die körpereigene Melatoninproduktion ausreichend stark zu stören. Die Gesamt-Studienlage deutet nun darauf hin, dass blaues Licht aus Bildschirm-Geräten keinen Einfluss auf den Schlaf hat.",no,"In bisherigen Studien macht es keinen merkbaren Unterschied für den Schlaf, wenn der Blaulicht-Anteil von Bildschirmgeräten am Abend herausgefiltert wird. Die Ergebnisse sind jedoch nicht gut abgesichert, da die Studien von geringer Qualität sind und meist nur wenige Personen untersucht haben."
27,Ist Strophanthin ein wirksames Herz-Kreislauf-Medikament?,"Außerdem sind die laut Studien positiven Ergebnisse von Strophanthin wenig glaubwürdig. Ob Strophanthin Beschwerden bei koronarer Herzkrankheit oder Herzschwäche besser lindert als die heutigen Standard-Medikamente, lässt sich aus diesen Studien also nicht ableiten. Ob Strophanthin in dieser Hinsicht einen Nutzen hat, beantworten die beiden auffindbaren Studien nicht.",unknown,"Wir haben zwei kleine mangelhafte Studien gefunden. Sie haben nur untersucht, ob sich Beschwerden kurzfristig verbessern, nicht aber die langfristige Wirkung auf Krankheitsverlauf und Todesfälle. Da die Studien schon ziemlich alt sind, lässt sich auch nicht abschätzen, wie Strophanthin im Vergleich mit modernen, gut untersuchten Medikamenten abschneidet."
28,Kann die regelmäßige Einnahme von Vitamin C Erkältungen vorbeugen?,"Wer vorbeugend Vitamin C schluckt, ist zwar im Falle einer Erkältung wahrscheinlich etwas kürzer krank, der Effekt scheint allerdings klein: Bei einer durchschnittlichen Dauer von sieben Krankheitstagen würde das Vitamin C für eine Verkürzung auf sechs bis sechseinhalb Krankheitstage sorgen. Ein klarer Vorteil zeigte sich dabei nicht – die Anzahl der erkälteten Teilnehmer war mit Vitamin C kaum niedriger als mit Placebo.",no,Die vorbeugende Einnahme von hochdosiertem Vitamin C über lange Zeit verhindert das Auftreten von Erkältungen nicht. Sie kann jedoch die durchschnittliche Krankheitsdauer von einer Woche um einen halben bis einen Tag verringern. Eine bereits eingetretene Erkältung kann Vitamin C wahrscheinlich nicht bessern.
29,Kann die Einnahme von Vitamin C nach Beginn einer Erkältung die Beschwerden lindern oder die Erkrankung verkürzen??,"Symptom-Behandlung wahrscheinlich ohne Effekt  Die Empfehlung, bei den ersten Anzeichen einer Erkältung hochdosiertes Vitamin C einzunehmen, können Studien nicht bestätigen. Die zusammengefassten Ergebnisse bisheriger Studien zeigen nicht, dass Vitamin C Erkältungssymptome lindern kann.",no,Die vorbeugende Einnahme von hochdosiertem Vitamin C über lange Zeit verhindert das Auftreten von Erkältungen nicht. Sie kann jedoch die durchschnittliche Krankheitsdauer von einer Woche um einen halben bis einen Tag verringern. Eine bereits eingetretene Erkältung kann Vitamin C wahrscheinlich nicht bessern.
30,Helfen salzwasserhaltige Nasenspülungen und Nasensprays oder das Inhalieren mit Dampf aus Kochsalzlösung bei Erkältungskrankheiten?,"Ob sie bei Erkältungen einen positiven Effekt haben, ist dennoch unklar. Ob Salzwasser – egal ob als Spülung, Inhalation oder Spray – die Beschwerden bei Erkältungen lindern oder die Erkrankung verkürzen kann, bleibt also unklar. Ob Salzwasser für die Nase bei Erkältungen hilft, können wir also nicht sagen.",unknown,"Ob Nasenspülungen oder Nasensprays mit Salzwasser bei Erkältungen (Verkühlungen) mit verstopfter oder rinnender Nase helfen, können die bisher durchgeführten Studien nicht beantworten. Denn sie kommen zu widersprüchlichen Ergebnissen und sind wenig aussagekräftig. Ob das Inhalieren mit Dampf aus heißem Salzwasser bei Erkältung hilft, wurde bisher nicht erforscht."
31,Helfen Mittel mit Ginseng bei Erektionsstörungen?,"Keine deutliche Wirkung  Die aktuelle Studienlage deutet an, dass keine wesentliche Verbesserung zu erwarten ist. Denn Erektionsfähigkeit und die Zufriedenheit mit dem Geschlechtsverkehr haben sich laut Studien im Durchschnitt nicht spürbar gesteigert.",no,"Bisherige Studien deuten darauf hin, dass Nahrungsergänzungsmittel mit Ginseng eher keine deutliche Veränderung bringen. Das heißt, dass sich wohl weder die Erektionsfähigkeit noch die sexuelle Zufriedenheit verbessern. Zumindest aber dürfte es nicht gehäuft zu Nebenwirkungen kommen. Sämtliche Einschätzungen sind nicht gut abgesichert."
32,Kann die Einnahme von Spermidin das Leben verlängern? Kann sie Krankheiten verhindern?,"Ob über die Nahrung oder als Kapsel aufgenommenes Spermidin auch beim Menschen eine lebensverlängernde Wirkung hat, können solche Versuche nicht beantworten – zu sehr unterscheidet sich der Mensch von Würmern und Fliegen. Spermidin aus Kapseln: unerforscht  Zur lebensverlängernden Wirkung von Spermidin als Nahrungsergänzungsmittel haben wir jedoch überhaupt keine Studien gefunden.",unknown,"Ob Spermidin in Form von Nahrungsergänzungsmittel Menschen länger oder gesünder leben lässt, hat bisher keine Studie untersucht. Zum Einfluss einer Spermidin-reichen Ernährung auf die Lebenserwartung gibt es zwar zwei Beobachtungsstudien. Ihre Ergebnisse sind jedoch nicht aussagekräftig."
33,Können Kapseln oder Tabletten mit Laktase die Beschwerden bei einer Laktoseintoleranz verbessern und Milchprodukte besser verträglich machen?,"Wie groß der Effekt der Laktase ist und ob sich Beschwerden spürbar bessern, lässt sich nicht aus allen Studien ableiten. Weniger Symptome mit Laktase  In fünf Studien berichteten die Teilnehmenden aus der Laktase-Gruppe, insgesamt weniger Beschwerden zu haben [2-4,6,7] . In nur einer Studie [4] berichteten die Teilnehmenden nach der Laktase-Einnahme von einer deutlichen Besserung – ihre Beschwerden war nur mehr halb so stark. Laktase-Tabletten und -Kapseln können möglicherweise Milchprodukte bei einer Laktoseintoleranz zumindest etwas verträglicher machen.",yes,"Tabletten und Kapseln mit dem Enzym Laktase lindern möglicherweise die Beschwerden bei einer Laktoseintoleranz. Unklar ist, ob Betroffene den Effekt deutlich spüren. Gut abgesichert ist unsere Einschätzung nicht. Denn die bisher veröffentlichten Studien sind sehr klein und großteils mangelhaft durchgeführt."
34,Können Gewichtsdecken bei Schlafstörungen helfen?,"Kein Hinweis auf Wirksamkeit  Das Ergebnis unserer Recherche ist ernüchternd: Klare Hinweise auf eine schlafverbessernde Wirkung konnten wir keine finden. Bewegungsmessungen der Teilnehmenden zeigten, dass diese mit Gewichtsdecke nicht ruhiger oder länger schliefen. Diese Resultate deuten darauf hin, dass Gewichtsdecken nicht bei Schlafstörungen helfen. Eine positive Wirkung von Gewichtsdecken auf den gestörten Schlaf ist also fraglich – wir können sie aber auch nicht ausschließen. Das heißt: Ob mit schwerer oder leichter Decke – im Durchschnitt gab es keinen Unterschied hinsichtlich Gesamtschlafzeit, Zeit bis zum Einschlafen und Wachliegen nach dem ersten Einschlafen.",unknown,Bisherige Studien finden keine überzeugenden Hinweise auf eine wirksame Hilfe bei Schlafstörungen – zumindest bei autistischen Kindern und Erwachsenen mit psychischen Erkrankungen. Ein Nutzen lässt sich jedoch auch nicht ausschließen. Mehr Forschung ist notwendig.
