,questions,documents,answers,explanations
10,"Kann Mönchspfeffer PMS-Beschwerden reduzieren? PMS ist die Abkürzung für das Prämenstruelle Syndrom. Damit sind Beschwerden gemeint, die in den Tagen vor der Menstruation auftreten.","Hinweis auf Wirksamkeit bei PMS  Bisherigen Studien zufolge könnte Mönchspfeffer bei PMS tatsächlich helfen. Die zusammengefassten Studienergebnisse deuten darauf hin, dass sich die Beschwerden mit Mönchspfeffer bei mehr Betroffenen verringern als mit einem Scheinmedikament (Placebo). Deshalb wäre es möglich, dass Mönchspfeffer gegen PMS-Symptome wie Brustspannen wirkt.",yes,"In den bisherigen Studien scheint Mönchspfeffer PMS-Beschwerden besser zu lindern als ein Scheinmedikament. Gut belegt ist das jedoch nicht, denn die Studien haben wesentliche Schwächen. Für eine Wirkung bei Zyklusstörungen gibt eine keine Belege. Aussagekräftige Studien fehlen."
11,Kann Olivenblätter-Extrakt zu hohen Blutdruck senken?,"Diese Studien geben also keine Auskunft darüber, ob Olivenblätter-Extrakt bei deutlich erhöhtem Blutdruck helfen kann. Ohne Erfolg jedoch: Wir konnten keine Studien finden, die die Wirkung von Olivenblätter-Extrakt auf die Herz-Kreislauf-Gesundheit untersucht haben. Eindeutige Antworten können die jedoch nicht liefern. Ob Olivenblätter-Extrakt bei deutlich erhöhtem Blutdruck besser oder schlechter wirken könnte, lässt sich also nicht sagen.",unknown,"Ob Extrakt aus Olivenblättern den Blutdruck senkt, wurde bisher in fünf geeigneten Studien untersucht. Sie alle fanden keinen oder einen geringen Effekt des Extrakts. Das Problem dabei: Die Teilnehmenden der Studie hatten meist nur leicht erhöhten Blutdruck. Wie Olivenblätter-Extrakt bei Personen mit deutlich erhöhtem Blutdruck (Hypertonie) wirkt, können sie nicht beantworten. Die Studien hatten zudem grobe Mängel, nur wenige Teilnehmende und liefen nur sehr kurz. Verlässliche Antworten können sie nicht liefern."
12,Verbessern Präparate aus Grünlippmuschel die Beschwerden bei Arthrose?,"Studien insgesamt nicht aussagekräftig  Das Fazit unserer Recherche: Wissenschaftliche Belege für die behauptete Wirkung fehlen. Unklar ist außerdem, ob die gemessenen positiven Effekten groß genug sind, um für Betroffene tatsächlich spürbar zu sein. Ob Grünlippmuschel bei Arthrose hilft oder nicht, lässt sich daher im Moment nicht sagen. Die Europäische Behörde für Lebensmittelsicherheit gelanget allerdings bereits 2009 zu der Auffassung, dass eine schützende Wirkung der Grünlippmuschel auf gesunde Gelenke nicht belegt ist. Aus den gefundenen Studien lassen sich unserer Einschätzung nach keine verlässlichen Schlüsse ziehen.",unknown,"Die Frage wurde in vier kleinen Studien mit schweren methodischen Mängeln untersucht, die zudem zu teils widersprüchlichen Ergebnissen kommen. Eindeutige Schlüsse lassen sich daraus nicht ziehen. Die Behauptung, Grünlippmuschel würde bei Arthrose helfen, ist wissenschaftlich nicht belegt."
13,Können Probiotika den Blutzucker bei Typ-2-Diabetes senken?,"Und wenn ja, können Probiotika diese Veränderung rückgängig machen und so den Blutzuckerspiegel wieder senken? Höchstens kleiner Effekt  Möglicherweise können sie das tatsächlich. Die Wirkung der Kapseln und Tabletten scheint allerdings nicht groß zu sein: In den bisherigen Studien konnten sie den Langzeitzuckerwert HbA1c um durchschnittlich 0,55 Punkte senken.",yes,"Die zusammengefassten Ergebnisse bisheriger Studien deuten an, dass Probiotika in Kapsel- oder Tablettenform den Blutzucker etwas senken könnten. Zumindest, wenn sie über einen Zeitraum von zwei bis drei Monaten eingenommen werden. Gut abgesichert ist der Effekt allerdings nicht. Probiotische Milchprodukte und Probiotika-Pulver zum Auflösen scheinen keine nachweisbare Wirkung zu haben."
14,Kann die sogenannte Tupler-Technik gegen Rektusdiastase helfen?,"Keine Studien zur Tupler-Technik  So intensiv wir auch suchten, die versprochenen Studien zur Tupler-Technik konnten wir nicht finden. Die Behauptung, es handle sich um eine wissenschaftlich belegte Therapie bei Rektusdiastase ist somit schlichtweg falsch. Die Studien im Detail   Wir fanden keine Studien, die die Wirksamkeit der Tupler-Technik zur Behandlung von Rektusdiastase untersuchten.",unknown,"Wir konnten keine einzige Studie finden, die untersucht haben, ob die Tupler-Technik tatsächlich funktioniert. Und das, obwohl Anbieter der Methode damit werben, ihre Wirksamkeit sei wissenschaftlich belegt."
15,Kann CBD (Cannabidiol) bei Migräne oder anderen Kopfschmerzen helfen?,"Offenbar wurde nie untersucht, ob CBD bei Migräne-Anfällen helfen kann. Die Behauptung, CBD würde bei Migräne oder Kopfschmerzen helfen, ist also reine Spekulation. Die Studien im Detail   Trotz umfangreicher Suche in drei Datenbanken konnten wir keine Studien zu CBD gegen Migräne oder andere Arten von Kopfschmerzen finden, weder zur Behandlung noch zur Vorbeugung.",unknown,"Es gibt keine Studien, die die Wirksamkeit von CBD gegen Migräne untersucht haben. Behauptungen, CBD könne bei Migräne-Anfällen helfen oder diesen vorbeugen, haben also keine wissenschaftliche Grundlage. Das gilt auch für andere Arten von Kopfschmerz."
16,Kann eine Laser-Bestrahlung von Blut mittels Infusionsnadel (Hämolaser-Behandlung) Beschwerden lindern oder bei Krankheiten helfen?,"Unklar ist auch, über welchen Mechanismus eine Bestrahlung von Blut mit gebündeltem rotem Licht – also rotem Laser – die Gesundheit verbessern soll. Unklar ist auch, über welchen Mechanismus eine Bestrahlung von Blut mit gebündeltem rotem Licht – also rotem Laser – die Gesundheit verbessern soll. Auch wenn die Autorinnen und Autoren der drei gefundenen Studien [1-3] behaupten, eine klare Wirksamkeit der Hämolaser-Behandlung festgestellt zu haben – keine der drei Studien eignet sich, dies tatsächlich zu belegen.",unknown,"Es gibt keinen wissenschaftlichen Nachweis dafür, dass eine Hämolaser-Behandlung eine lindernde oder heilende Wirkung bei Gesundheitsproblemen hat."
17,Bekommt man im Alltag beim Atmen mit FFP2-Maske oder gewöhnlichem Mund-Nasen-Schutz genauso viel Sauerstoff wie ohne Maske?,"So viel Sauerstoff wie ohne Maske  Diese Befürchtung ist jedoch unbegründet, wie bisher durchgeführte Studien zeigen [ 1,2 ]. Lediglich bei sehr anstrengendem Sport (schnellem Radfahren bis zur Erschöpfung) war der Sauerstoffgehalt im Blut mit FFP2-Maske etwas niedriger als ohne Maske. Mit gewöhnlichem Mund-Nasenschutz zeigte sich kein Unterschied bei der Sauerstoff-Messung. Atmung etwas anstrengender  Die Ergebnisse widersprechen somit dem Gerücht, wonach Masken einen Sauerstoffmangel verursachen würden.",yes,"Auch wenn sich das Atmen mit Maske unangenehm anfühlen kann: Bisherigen Studien zufolge bekommt man mit FFP2-Maske oder Mund-Nasen-Schutz genauso viel Sauerstoff wie ohne Maske. Das gilt auch dann, wenn man sich bewegt oder anstrengt. Nur bei sehr intensivem Sport verringert sich der Sauerstoffgehalt im Blut geringfügig – jedoch zu wenig, um die Gesundheit zu gefährden."
18,Kann CBD bei Regelschmerzen helfen?,"Denn trotz Suche in drei verschiedenen Datenbanken konnten wir keine einzige Studie zu CBD bei Regelschmerzen finden. Dabei ist wissenschaftlich gar nicht ausreichend erforscht, ob CBD tatsächlich den Schlaf fördert, wie Anbieter behaupten. Die Studien im Detail   Wir konnten keine Studien finden, die untersucht haben, ob CBD bei Regelschmerzen helfen kann – weder zur Behandlung noch zur Vorbeugung.",unknown,"Ob CBD Regelschmerzen lindern kann, wurde wissenschaftlich offenbar nie untersucht. Wir konnten keine Studien dazu finden. Frauen, die unter starken Regelschmerzen leiden, sollten mit einer Frauenärztin oder einem Frauenarzt darüber sprechen. Erkrankungen wie die Endometriose könnten dahinterstecken."
19,Kann ein Bioresonanz-Gerät wie „Bioscan“ oder „Vieva Vital Analyser“ einen Mangel an Mineralstoffen und Vitaminen messen oder Gesundheitsprobleme feststellen?,"Dieses Experiment zeigt deutlich, dass die untersuchten Geräte komplett ungeeignet sind, um einen Mangel an Vitaminen oder Mineralstoffen zu diagnostizieren. Verurteilt wegen Betrugs  Ende Mai 2022 kam auch ein deutsches Gericht zu dem Schluss, dass das Bioscan-Gerät die beworbenen Behauptungen nicht erfüllen kann. Ebenso unplausibel sind Behauptungen für vergleichbare Produkte. Selbst wenn 1000 Probandinnen und Probanden an der Studie teilgenommen hätten und sich nur bei fünf bis sechs Personen derart unzuverlässige Messwerte gezeigt hätten, wäre ein solches Gerät zur Diagnostik wertlos.",no,"Ein Experiment zeigt, dass die Geräte nicht zwischen Gesunden, schwer Erkrankten und einer Leiche unterscheiden können. Auch die behauptete Wirkungsweise hinter der Messmethode ist wissenschaftlich nicht plausibel. Ein deutsches Gericht hat die Hersteller des Bioscan-Geräts (nicht rechtskräftig) wegen Betrugs verurteilt."
20,Hilft Arthroskopie (Gelenksspiegelung) bei Arthrose des Kniegelenks?,"Was vielleicht logisch klingt, hat aber einen Haken: Den Behandelten bringt die Arthroskopie bei Arthrose nichts. Studien sprechen eindeutig gegen einen Nutzen  Ein Forschungsteam fasste darin die aussagekräftigsten aller bisher veröffentlichten Studien zu Arthroskopie bei Knie-Arthrose zusammen. In diesen Studien hatten Behandelte nach einer Arthroskopie nicht merklich weniger Schmerzen oder Bewegungseinschränkungen als Personen, die nur zum Schein oder gar nicht behandelt wurden. Arthroskopie gegen Arthrose: nicht wirksam, aber auch nicht sehr riskant  Immerhin: Auch unerwünschte Ereignisse waren in den Arthroskopie-Gruppen nicht auffällig häufig zu beobachten.",no,Die Datenlage ist eindeutig: Als Behandlung bei Knie-Arthrose ist die Arthroskopie nutzlos. Sie kann langfristig weder Schmerzen lindern noch die Funktion des Kniegelenks verbessern.
21,Haben Nahrungsergänzungsmittel mit Silizium (z.B. als „organisches Silizium“ oder Kieselsäure) gesundheitliche Vorteile?,"Bisher ist auch völlig unklar, welche Rolle das Element Silizium im menschlichen Körper überhaupt spielt [8] . Wir haben recherchiert: Bisherige Studien liefern keine Hinweise darauf, dass Nahrungsergänzungsmittel mit Silizium den Knochenaufbau unterstützen und so etwa ältere Frauen vor Osteoporose und Knochenbrüchen im Alter schützen [1,2] . Es gibt keine Hinweise darauf, dass Silizium die Haarstruktur verbessert [3,4] , die Fingernägel stärkt [4] oder die Haut schöner und elastischer macht [4,6,7] . Auch dass Silizium die Bildung von Kollagen und Bindegewebe unterstützt ist lediglich eine Mutmaßung [8] . Mutmaßungen ohne Studien  Auch zu weiteren vermeintlichen Gesundheitsvorteilen von Silizium konnten weder wir noch die Europäische Lebensmittel-Sicherheitsbehörde EFSA [8] klinische Studien finden.",unknown,"Es gibt bisher keinen Hinweis darauf, dass die zusätzliche Einnahme von Silizium die Gesundheit fördern kann. Auch dass es Nägel, Haut und Haare stärkt, ist eine unbelegte Behauptung. Zudem ist unklar, ob Silizium im Körper überhaupt eine Rolle spielt."
22,Kann die regelmäßige Einnahme von Cranberry-Saft oder Cranberry-Extrakt immer wiederkehrende Blasenentzündungen bei Frauen vorbeugen?,"Die zusammengefassten Ergebnisse zeigen: Die regelmäßige Einnahme von Cranberry-Produkten könnte eine vorbeugende Wirkung haben. Hinweise darauf, dass Cranberry-Produkte Blasenentzündungen vorbeugen können, gibt es außerdem nur für ansonsten gesunde Frauen. Insgesamt gibt es zwar Hinweise auf eine mögliche vorbeugende Wirkung von Cranberrys.",yes,"Frauen, die immer wieder mit Blasenentzündungen zu tun haben, könnten etwas weniger häufig erkranken, wenn sie regelmäßig Cranberry-Saft oder -Extrakt einnehmen. Gut abgesichert ist das jedoch nicht. Und sie gilt nur für unkompliziert verlaufende Blasenentzündungen bei ansonsten gesunden Frauen. Ob Cranberry-Produkte helfen, wenn die Blasenentzündung schon da ist, bleibt unklar. Das wurde bisher nicht in aussagekräftigen Studien untersucht."
23,"Werden Frauen, die immer wieder Blasenentzündungen haben diese schneller wieder los, wenn sie Cranberry-Produkte erst einnehmen, wenn die Erkrankung schon da ist??","Hinweise darauf, dass Cranberry-Produkte Blasenentzündungen vorbeugen können, gibt es außerdem nur für ansonsten gesunde Frauen. Es scheint jedoch keine aussagekräftigen Studien zu geben, die das bei Frauen mit immer wiederkehrenden Blasenentzündungen untersucht haben. Die vorbeugende Wirkung von Cranberry bei Kindern, Männern und Menschen mit Harnkathetern oder bestimmten Erkrankungen hat die Übersichtsarbeit nicht untersucht.",unknown,"Frauen, die immer wieder mit Blasenentzündungen zu tun haben, könnten etwas weniger häufig erkranken, wenn sie regelmäßig Cranberry-Saft oder -Extrakt einnehmen. Gut abgesichert ist das jedoch nicht. Und sie gilt nur für unkompliziert verlaufende Blasenentzündungen bei ansonsten gesunden Frauen. Ob Cranberry-Produkte helfen, wenn die Blasenentzündung schon da ist, bleibt unklar. Das wurde bisher nicht in aussagekräftigen Studien untersucht."
24,Kann Extrakt aus dem Johanniskraut die Beschwerden einer Depression lindern? Ist es ähnlich wirksam wie Medikamente gegen Depression (Antidepressiva)?,"Bei leichter bis mittelschwerer Depression wirken Johanniskraut-Präparate wahrscheinlich besser als ein Placebo. Johanniskraut-Präparate wirken dabei wahrscheinlich ähnlich gut wie Antidepressiva. Johanniskraut und Antidepressiva können die Beschwerden zwar lindern, die Depression endgültig heilen können beide Mittel allerdings vermutlich nicht. Johanniskraut und Antidepressiva können die Beschwerden zwar lindern, die Depression endgültig heilen können beide Mittel allerdings vermutlich nicht.",yes,Johanniskraut kann die Symptome einer leichten bis mittelschweren Depression wahrscheinlich besser lindern als ein Scheinpräparat (Placebo). Es scheint auch ähnlich wirksam zu sein wie zugelassene Medikamente gegen Depression (Antidepressiva). Die Johanniskraut-Präparate werden im Allgemeinen besser vertragen als Antidepressiva.
25,"Stärkt das Armband von Zisano das Immunsystem, erhöht es die Ausdauer und Leistungsfähigkeit oder verringert es Müdigkeit?","Ob solche Armbänder einen Effekt haben, ob sie beispielsweise tatsächlich die körperliche Leistung steigern oder das Immunsystem stärken können, wurde offenbar nie untersucht. Armbänder für mehr Leistung: Studien zeigen Wirkungslosigkeit  Alle fünf Studien kamen zu demselben Ergebnis: Die Armbänder hatten keine Auswirkung auf die Leistungsfähigkeit oder das Wohlbefinden der Versuchspersonen. Eine wissenschaftlich plausible Erklärung, wie genau solche Armbänder ihre Wirkung entfalten sollen, bleiben deren Anbieter schuldig. Die Studien im Detail   Wir konnten keine Studien zum Zisano-Armband oder vergleichbaren Armbändern mit Silizium-Chip finden.",unknown,"Die versprochenen positiven Effekte des „Powerband“-Armbandes auf die Gesundheit und das Wohlbefinden wurden wissenschaftlich offenbar nicht untersucht. Wir konnten keine Studien dazu finden. Auch wie das Armband konkret wirken soll, ist unklar. Eine wissenschaftlich plausible Erklärung dafür fehlt."
26,"Verbessert die Mikroimmuntherapie Beschwerden bei Allergien, Krebs, Gelenksentzündungen, Autoimmunkrankheiten, Demenz oder verschiedenen Virus-Infektionen?","Aussagekräftig ist keine dieser Studien – denn sie sind mangelhaft durchgeführt und die veröffentlichten Daten sind unvollständig. Hinweise auf einen Nutzen der Mikroimmuntherapie können sie keine geben. Berechtigte Zweifel  Da Mikroimmuntherapie-Präparate alshomöopathische Mittel sehr stark verdünnt sind, haben wir grundlegende Zweifel an der Methode.",unknown,"Studien scheint es bisher nur zu Mikroimmuntherapie gegen Heuschnupfen und Krebs zu geben. Ihre Aussagekraft ist viel zu gering, um auf eine Wirksamkeit der Therapie schließen zu können. Zu anderen Gesundheitsproblemen fanden wir keine Studien. Einen belegten Nutzen der Mikroimmuntherapie gibt es also für keine einzige Erkrankung."
27,Kann Ginkgo-Extrakt die geistige Leistung von Demenzkranken verbessern?,"Demenz-Betroffene, die Ginkgo-Extrakt einnahmen, schienen bei Denk-, Gedächtnis- und Konzentrationsaufgaben oft besser abzuschneiden als jene, die Placebo-Präparate ohne Wirkstoff schluckten [1,3] . Die Studien weisen zwar darauf hin, dass Ginkgo-Extrakt Demenz-Betroffenen helfen kann, doch die Aussagekraft der einzelnen Studien ist eingeschränkt.",yes,"Bisherige Studien deuten darauf hin, dass Ginkgo-Extrakt die geistige Leistung bei Demenz verbessern kann – das ist jedoch nicht gut abgesichert. Wie groß dieser Effekt ist, lässt sich nicht genau sagen."
28,Verbessert Zirbenholz den Schlaf?,"Es gibt also keinen Hinweis, dass das Holz der Zirbe den Schlaf verbessert. Welche Bedeutung diese Labor-Messwerte für den Schlaf der Teilnehmenden haben, ist unklar – auch wenn die Forschenden sie als positive Auswirkungen des Zirbenbetts interpretieren. Ob ein Zirbenbett tatsächlich den Schlaf verbessert, müssten in Zukunft strenger nach wissenschaftlichen Kriterien durchgeführte Studien an deutlich mehr Testpersonen untersuchen.Die Studien im Detail   [1,2] Grote u.a.",unknown,Diese Fragestellung hat bisher nur eine einzige kleine Studie untersucht. Deren Ergebnisse sind jedoch aufgrund zahlreicher Mängel bei der Studiendurchführung ohne Aussagekraft.
29,Verringern Nahrungsergänzungsmittel mit Spermidin oder eine Spermidin-reiche Ernährung das Risiko für Alzheimer und andere Formen von Demenz? Helfen sie bei bereits vorhandener Demenz?,"Studien zu Spermidin: nicht genug als Wirksamkeits-Beleg  Selbst wenn beide Studien zu überwältigend positiven Ergebnissen gekommen wären, hätten wir dennoch Bedenken zu ihrer Aussagekraft. Wie und ob zusätzlich über die Nahrung aufgenommenes Spermidin wirkt, ist wissenschaftlich derzeit nicht ausreichend erforscht. Die Teilnehmenden-Anzahl ist gering und das Risiko ist hoch, dass die Ergebnisse nicht auf die Realität umlegbar sind. Wir schätzen die Studie als nicht aussagekräftig ein. Ergebnisse: Sowohl die Spermidin-Gruppe als auch die Vergleichsgruppe hatten am Ende der Studie weniger Demenz-Symptome und eine bessere geistige Leistungsfähigkeit.",unknown,"Hersteller von Spermidin-Mitteln werben mit einer angeblichen positiven Wirkung auf die geistige Leistungsfähigkeit und Schutz vor Demenz. Eine solche Wirkung wurde allerdings nicht in aussagekräftigen Studien nachgewiesen. Wir fanden eine einzige Studie, an der Demenz-Patientinnen und -Patienten teilgenommen hatten. Ihre Ergebnisse sind allerdings wenig eindeutig."
30,Verbessern Präparate aus Grünlippmuschel die Beschwerden bei rheumatoider Arthritis?,"Für uns ist diese Behauptung deshalb wenig glaubwürdig. Ob Grünlippmuschel bei Rheuma hilft oder nicht, lässt sich daher im Moment nicht sicher sagen. Ob sich die Ergebnisse auf andere Produkte oder andere Dosierungen übertragen lassen, ist unklar. Die Studien sind allesamt nach heutigem Standard schlecht gemacht: So ist es unklar, wie verlässlich die Messungen des Behandlungserfolgs sind. Ob Rheuma-Patientinnen und -Patienten dann noch von Grünlippmuschel-Präparaten profitieren würden, bleibt unklar.",unknown,Fünf kleine Studien liefern insgesamt keine Hinweise auf einen Nutzen der Grünlippmuschel bei Rheuma. Die Rheuma-Behandlung der Teilnehmenden entspricht jedoch nicht den heutigen Standards und die Studien waren sehr mangelhaft durchgeführt. Deshalb können wir aus diesen Studien keine verlässlichen Schlüsse ziehen.
